月份,真实阅读小时,笔记数
2023-01,0.0,0
2023-02,18.9,69
2023-03,5.4,42
2023-04,6.2,64
2023-05,7.3,52
2023-06,0.7,12
2023-07,0.1,0
2023-08,4.4,54
2023-09,0.0,0
2023-10,6.9,49
2023-11,34.0,326
2023-12,4.2,16
2024-01,6.3,43
2024-02,11.2,165
2024-03,18.8,219
2024-04,5.0,51
2024-05,2.1,3
2024-06,0.7,5
2024-07,1.8,31
2024-08,34.7,485
2024-09,16.1,216
2024-10,4.9,77
2024-11,10.7,216
2024-12,5.3,179
2025-01,18.1,777
2025-02,11.1,463
2025-03,63.1,831
2025-04,11.4,490
2025-05,4.8,138
2025-06,8.0,338
2025-07,8.7,397
2025-08,5.5,191
2025-09,1.2,17
2025-10,2.9,37
2025-11,3.3,121
2025-12,2.8,95
2026-01,60.7,263
2026-02,19.1,113
2026-03,2.8,122
2026-04,6.1,149
2026-05,15.5,211
2026-06,2.6,92
2026-07,4.2,182
2026-08,0.4,3
